Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,"66,144,443","74,855,554","92,240,739","110,066,665","124,462,961","137,951,849","153,270,368","173,511,108","201,862,959","245,896,292","286,474,069","338,696,290","373,403,697","391,570,364","410,388,889","423,762,963","456,537,037","500,088,889","494,185,185","541,074,074","579,851,852","620,037,037","651,851,852","783,837,852","773,765,185","802,529,333","839,996,370","898,356,148","997,374,111","1,135,143,593","1,289,254,333","1,347,349,852","1,206,410,370","1,135,539,037","1,129,918,370","1,204,713,111","1,200,587,519","1,220,976,000","1,297,285,370",
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,"18,567,588,756","19,639,377,310","19,883,525,591","21,497,368,126","23,754,059,805","25,925,635,569","27,250,531,974","30,378,541,830","32,641,953,186","36,606,562,885","41,245,380,222","45,119,274,275","51,928,738,318","63,688,661,115","88,775,239,499","97,081,797,078","104,815,000,000","110,097,000,000","118,218,000,000","134,585,000,000","149,655,000,000","176,527,000,000","193,651,000,000","176,899,000,000","193,198,000,000","180,183,000,000","181,989,000,000","189,077,000,000","235,771,000,000","299,480,000,000","310,955,000,000","325,575,000,000","325,253,000,000","311,951,000,000","322,805,000,000","367,949,000,000","401,335,000,000","435,571,000,000","399,294,000,000","388,672,000,000","414,952,000,000","378,459,000,000","394,196,000,000","466,348,000,000","612,695,000,000","693,075,000,000","746,881,000,000","853,053,000,000","1,054,560,000,000","926,564,000,000","1,142,250,000,000","1,389,920,000,000","1,537,480,000,000","1,563,950,000,000","1,454,680,000,000","1,339,540,000,000",
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,"6,592,693,841","7,311,749,633","7,756,110,210","8,374,175,258","9,169,983,886","9,994,070,616","10,887,682,273","11,579,431,669","12,440,625,313","13,582,798,556","15,335,972,268","17,815,464,919","22,006,470,861","29,444,365,310","35,104,529,078","39,962,704,274","42,856,485,618","51,421,585,630","61,902,774,946","73,759,181,884","81,861,232,823","70,863,106,877","71,103,585,384","71,947,277,233","67,821,568,599","69,219,621,907","98,797,587,382","123,869,000,000","133,018,000,000","132,785,000,000","166,062,000,000","173,376,000,000","194,608,000,000","189,921,000,000","203,045,000,000","240,458,000,000","236,720,000,000","212,323,000,000","217,684,000,000","216,725,000,000","196,422,000,000","196,954,000,000","212,971,000,000","260,721,000,000","299,857,000,000","314,649,000,000","334,309,000,000","386,459,000,000","427,612,000,000","397,594,000,000","390,235,000,000","429,011,000,000","407,373,000,000","428,699,000,000","436,888,000,000","374,056,000,000",
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,858,006,036","8,792,365,811","4,991,350,458","3,973,027,397","3,313,739,674","3,052,467,522","3,176,749,593","3,962,710,163","4,446,396,218","4,581,222,442","5,272,617,196","5,707,618,247","6,236,024,951","7,275,766,111","8,680,511,918","13,245,421,881","20,983,019,924","33,050,343,783","48,852,482,960","44,291,490,421","52,902,703,376","65,951,627,200","68,730,906,314","73,560,484,385","75,198,010,965","53,047,140,347",
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,"195,999,990","202,999,992","213,500,006","232,749,998","260,750,008","158,994,963","165,444,571","178,297,143","183,200,000","190,205,714","242,732,571","252,842,286","246,804,571","304,339,840","345,263,492","420,986,667","448,412,754","547,535,556","610,225,556","782,496,667","919,726,667","969,046,667","1,013,222,222","1,082,926,304","987,143,931","1,149,979,286","1,201,725,497","1,131,466,494","1,082,403,219","1,113,924,130","1,132,101,253","1,167,398,478","1,083,037,671","938,632,612","925,030,590","1,000,428,394","869,033,856","972,896,268","893,770,806","808,077,223","870,486,066","876,794,723","825,394,490","784,654,424","915,257,323","1,117,257,279","1,273,180,597","1,356,078,278","1,611,634,332","1,739,781,489","2,026,864,469","2,355,652,126","2,472,384,907","2,714,505,635","3,093,647,227","3,085,184,837",
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,"11,658,722,591","12,400,145,222","13,264,015,675","14,260,017,387","15,960,106,681","17,371,457,608","18,651,883,472","19,992,040,788","21,376,353,113","23,710,735,895","26,849,173,618","29,981,318,395","37,408,626,615","47,999,408,508","56,333,063,691","66,029,811,341","71,494,607,106","83,283,407,091","101,789,000,000","116,938,000,000","127,508,000,000","105,291,000,000","92,588,982,518","87,650,998,817","83,795,759,983","86,730,120,728","120,661,000,000","150,194,000,000","163,168,000,000","165,100,000,000","206,431,000,000","211,638,000,000","236,039,000,000","225,925,000,000","246,195,000,000","289,568,000,000","281,358,000,000","254,814,000,000","260,602,000,000","260,202,000,000","237,905,000,000","237,842,000,000","258,860,000,000","319,003,000,000","370,885,000,000","387,366,000,000","409,813,000,000","471,822,000,000","518,626,000,000","484,553,000,000","483,577,000,000","526,975,000,000","497,816,000,000","521,371,000,000","531,235,000,000","454,039,000,000",
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,"226,195,578","235,668,221","236,434,954","253,927,698","269,819,006","289,908,680","302,925,236","306,221,953","326,323,106","330,748,244","333,627,714","335,073,028","410,331,856","504,376,074","554,654,862","676,870,139","698,408,261","750,049,780","928,843,469","1,186,231,018","1,405,251,844","1,291,120,191","1,267,778,672","1,095,348,199","1,051,134,009","1,045,712,790","1,336,102,027","1,562,412,226","1,620,246,085","1,502,294,414","1,959,965,330","1,986,437,860","1,695,315,306","2,274,557,914","1,598,075,932","2,169,627,251","2,361,116,588","2,268,301,538","2,455,092,582","2,689,787,918","2,569,186,643","2,680,213,931","3,054,571,082","3,905,366,188","4,521,424,807","4,803,702,821","5,142,380,779","5,969,535,132","7,132,787,397","7,097,198,712","6,970,240,895","7,814,081,156","8,117,100,934","9,110,800,745","9,575,356,735","8,476,125,181",
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,"330,442,815","350,247,235","379,567,100","394,040,668","410,321,645","422,916,789","433,889,767","450,753,924","460,442,690","478,298,645","458,404,269","482,411,180","578,595,521","674,773,570","751,133,432","939,972,702","976,547,187","1,131,224,880","1,475,583,643","1,748,480,618","1,928,719,884","1,775,842,337","1,754,450,098","1,600,278,605","1,459,880,133","1,552,493,197","2,036,303,360","2,369,834,947","2,616,040,481","2,615,587,730","3,101,300,779","3,135,045,684","2,240,264,712","2,332,018,011","1,895,290,965","2,379,518,099","2,586,550,747","2,447,669,404","2,804,902,724","3,014,665,729","2,632,700,363","2,812,845,514","3,205,592,290","4,205,691,222","4,838,551,100","5,462,709,498","5,844,669,846","6,771,277,871","8,369,637,065","8,369,175,126","8,979,966,766","10,724,061,339","11,166,061,508","12,114,166,021","12,549,126,616","11,099,473,097",
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,"4,274,893,913","4,817,580,184","5,081,413,340","5,319,458,351","5,386,054,619","5,906,636,557","6,439,687,598","7,253,575,399","7,483,685,473","8,471,006,101","8,992,721,809","8,751,842,840","6,288,245,867","8,086,725,729","12,512,460,520","19,448,348,073","10,117,113,333","9,651,149,302","13,281,767,143","15,565,480,322","18,138,049,096","20,249,694,002","18,525,399,202","17,609,048,822","18,920,840,000","22,278,423,077","21,774,033,333","24,298,032,258","26,579,005,760","28,781,714,764","31,598,341,234","30,957,483,291","31,708,873,955","33,166,520,085","33,768,662,171","37,939,748,051","46,438,482,370","48,244,308,275","49,984,559,471","51,270,569,884","53,369,787,319","53,991,289,844","54,724,081,491","60,158,929,188","65,108,544,250","69,442,943,089","71,819,083,684","79,611,888,213","91,631,278,239","102,478,000,000","115,279,000,000","128,638,000,000","133,356,000,000","149,990,000,000","172,885,000,000","195,079,000,000",
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,"20,039,627,960","20,056,236,992","19,804,095,112","16,959,385,509","17,411,159,923","17,562,123,350","20,261,212,467","28,429,027,976","23,002,458,745","21,746,812,560","20,726,301,370","10,943,548,387","10,350,515,464","10,829,710,145","9,697,416,974","13,063,422,619","10,109,404,160","11,195,630,537","14,630,974,778","13,495,062,850","13,148,099,185","14,135,393,876","16,360,346,654","21,074,775,206","26,094,622,564","29,821,662,537","34,304,448,150","44,765,733,380","54,666,642,734","51,783,454,184","49,939,168,133","56,949,835,052","53,576,670,828","55,626,359,256","56,717,054,674","48,952,959,080",
